epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.153,0.52795,0.59275,0.97717,0.83035,0.89943,0.88159,0.75881,0.51378,0.52696,0.89919,0.000473826,0.000473826,0.000473826
2,337.675,0.49622,0.50786,0.9387,0.8795,0.84985,0.9014,0.78318,0.49747,0.53453,0.88357,0.000943889,0.000943889,0.000943889
3,533.013,0.5025,0.50379,0.93346,0.8941,0.92255,0.94218,0.83108,0.44915,0.4383,0.87448,0.00140766,0.00140766,0.00140766
4,694.018,0.52036,0.49584,0.94267,0.88019,0.89221,0.917,0.8162,0.44848,0.48798,0.86875,0.00140071,0.00140071,0.00140071
5,825.13,0.50771,0.48258,0.93986,0.90748,0.93101,0.95108,0.83636,0.44227,0.41373,0.86384,0.00139127,0.00139127,0.00139127
6,1032.76,0.50692,0.45961,0.93707,0.86235,0.84425,0.91878,0.80239,0.52144,0.55114,0.91605,0.00138184,0.00138184,0.00138184
7,1170.54,0.48717,0.45331,0.92952,0.8966,0.94288,0.96184,0.86495,0.41115,0.36342,0.84885,0.00137241,0.00137241,0.00137241
8,1367.2,0.47797,0.42439,0.92281,0.93793,0.9237,0.96863,0.88786,0.38379,0.32908,0.83615,0.00136298,0.00136298,0.00136298
9,1490.28,0.46491,0.41772,0.91984,0.9094,0.93897,0.96372,0.87797,0.39754,0.34791,0.8434,0.00135355,0.00135355,0.00135355
10,1644.3,0.47128,0.42016,0.92192,0.91037,0.93925,0.95982,0.86622,0.41016,0.3499,0.85133,0.00134412,0.00134412,0.00134412
11,1776.64,0.46077,0.405,0.91758,0.91584,0.94522,0.96842,0.8839,0.38564,0.31561,0.8413,0.00133469,0.00133469,0.00133469
12,1949.63,0.45368,0.38659,0.91482,0.89435,0.94033,0.95715,0.86664,0.41936,0.36727,0.84821,0.00132525,0.00132525,0.00132525
13,2073.62,0.45043,0.38627,0.91494,0.91381,0.92072,0.94442,0.83645,0.46,0.41736,0.8738,0.00131582,0.00131582,0.00131582
14,2226.04,0.43951,0.38063,0.90561,0.92994,0.93521,0.96401,0.88391,0.37194,0.31659,0.83574,0.00130639,0.00130639,0.00130639
15,2350.47,0.43023,0.38247,0.90946,0.92848,0.9444,0.96816,0.89221,0.3697,0.31699,0.82532,0.00129696,0.00129696,0.00129696
16,2497.08,0.44847,0.3758,0.9095,0.90469,0.91232,0.95165,0.85596,0.43683,0.39054,0.86173,0.00128753,0.00128753,0.00128753
17,2622.05,0.43909,0.36765,0.9126,0.94091,0.94039,0.97483,0.88839,0.39262,0.32199,0.84086,0.0012781,0.0012781,0.0012781
18,2763.8,0.43482,0.36631,0.90048,0.91195,0.94812,0.97453,0.90251,0.35234,0.29673,0.82645,0.00126867,0.00126867,0.00126867
19,2887.78,0.43183,0.37046,0.90671,0.89971,0.94486,0.94311,0.86499,0.36629,0.32304,0.83414,0.00125923,0.00125923,0.00125923
20,3037.92,0.42664,0.35539,0.90295,0.94148,0.94773,0.978,0.90944,0.3554,0.29077,0.82688,0.0012498,0.0012498,0.0012498
21,3156.41,0.42003,0.35315,0.90352,0.90962,0.94779,0.96128,0.8813,0.37082,0.31916,0.83885,0.00124037,0.00124037,0.00124037
22,3306.34,0.41625,0.34737,0.90473,0.91161,0.95392,0.96803,0.89631,0.37218,0.29888,0.83043,0.00123094,0.00123094,0.00123094
23,3433.75,0.41495,0.34738,0.89682,0.90853,0.96216,0.97368,0.90336,0.34761,0.29803,0.82437,0.00122151,0.00122151,0.00122151
24,3613.69,0.41941,0.34754,0.90553,0.90114,0.94831,0.95954,0.88295,0.37291,0.31212,0.83274,0.00121208,0.00121208,0.00121208
25,3737.81,0.41348,0.3429,0.89935,0.91743,0.95585,0.97309,0.89952,0.34995,0.29889,0.82861,0.00120265,0.00120265,0.00120265
26,3887.38,0.3974,0.32394,0.89602,0.89342,0.95439,0.95622,0.88854,0.35874,0.29313,0.82148,0.00119322,0.00119322,0.00119322
27,4011.68,0.40878,0.33276,0.90088,0.88336,0.96452,0.96616,0.89208,0.3435,0.3056,0.81948,0.00118378,0.00118378,0.00118378
28,4157.49,0.40917,0.32961,0.9003,0.89672,0.97454,0.97252,0.90811,0.34424,0.27767,0.8214,0.00117435,0.00117435,0.00117435
29,4281.52,0.39886,0.32367,0.89546,0.89779,0.96572,0.96807,0.90511,0.34563,0.28685,0.82541,0.00116492,0.00116492,0.00116492
30,4431.93,0.40376,0.32576,0.89805,0.91059,0.95045,0.9678,0.89712,0.35728,0.29357,0.82918,0.00115549,0.00115549,0.00115549
